bResult,blueTeamTag,redTeamTag,gamelength
1,HKA,RG,26
1,RG,HKA,34
1,WS,M17,40
1,M17,FW,27
1,FW,M17,35
1,M17,FW,47
1,JT,HKA,37
1,HKA,JT,49
1,RG,FB,31
1,FW,AHQ,33
1,AHQ,JT,36
1,JT,AHQ,39
1,AHQ,JT,38
1,JT,AHQ,36
1,AHQ,JT,35
1,AHQ,RG,30
1,HKA,JT,42
1,JT,HKA,59
1,HKA,JT,26
1,RG,M17,42
1,M17,RG,31
1,RG,M17,51
1,M17,RG,34
1,RG,M17,32
1,HKA,RG,32
1,PNG,KST,49
1,ITZ,CNB,32
1,CNB,ITZ,32
1,KBM,OPK,36
1,RED,REM,29
1,RED,ITZ,33
1,CNB,KBM,45
1,OPK,PNG,63
1,PNG,OPK,28
1,PNG,CNB,48
1,RED,KBM,46
1,ITZ,REM,22
1,KST,OPK,57
1,OPK,REM,35
1,RED,CNB,41
1,KST,KBM,40
1,ITZ,PNG,32
1,ITZ,KST,32
1,CNB,REM,53
1,REM,CNB,51
1,RED,OPK,24
1,PNG,KBM,47
1,PNG,RED,36
1,RED,PNG,50
1,ITZ,OPK,34
1,ITZ,KBM,31
1,CNB,OPK,47
1,OPK,CNB,33
1,PNG,REM,57
1,KST,RED,40
1,KST,ITZ,37
1,PNG,RED,32
1,RED,PNG,35
1,RED,PNG,42
1,PRG,TSW,31
1,ITZ,CNB,48
1,ONE,KST,46
1,KST,CNB,34
1,ONE,ITZ,41
1,PNG,TSW,30
1,PRG,RED,47
1,RED,PRG,42
1,ITZ,RED,37
1,PRG,ONE,32
1,KST,TSW,48
1,PNG,CNB,40
1,ONE,TSW,35
1,RED,CNB,37
1,ITZ,PNG,54
1,PNG,ITZ,46
1,ONE,CNB,31
1,ITZ,TSW,27
1,PNG,PRG,31
1,PRG,PNG,40
1,PNG,KST,50
1,KST,PNG,35
1,ITZ,PRG,33
1,CNB,TSW,50
1,RED,ONE,39
1,RED,TSW,55
1,ONE,PNG,45
1,PNG,ONE,33
1,ITZ,KST,42
1,ITZ,PNG,34
1,PNG,ITZ,42
1,ONE,RED,34
1,ONE,RED,37
1,ONE,RED,37
1,ONE,PNG,31
1,ONE,PNG,36
1,ONE,PNG,42
1,SUP,DP,31
1,DP,SUP,39
1,GS,CRW,38
1,CRW,GS,28
1,HWA,AUR,40
1,CRW,GAL,34
1,GAL,CRW,49
1,DP,GS,41
