bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
0,1,Rumble,Sejuani,Orianna,Ashe,Thresh,Irelia,Gragas,Leblanc,Kalista,Bard,2015
0,1,Rumble,RekSai,Azir,Sivir,Nautilus,Gnar,Zac,KogMaw,Ezreal,Thresh,2015
0,1,Gnar,RekSai,Ekko,Sivir,Janna,Hecarim,Nunu,Azir,Jinx,Thresh,2015
0,1,Hecarim,Gragas,Ekko,Kalista,Bard,Fizz,RekSai,KogMaw,Sivir,Morgana,2015
1,0,Hecarim,Ekko,Leblanc,Corki,Alistar,Fizz,Nunu,Azir,Lucian,Nautilus,2015
1,0,Maokai,LeeSin,Leblanc,Sivir,Alistar,DrMundo,Nidalee,Viktor,Lucian,Janna,2015
0,1,Hecarim,JarvanIV,Rumble,Sivir,Alistar,Ekko,Gragas,Lulu,Ashe,Bard,2015
1,0,Maokai,Gragas,Varus,Jinx,Karma,Fizz,Nunu,Azir,Corki,Alistar,2015
1,0,Rumble,RekSai,Ekko,Kalista,Annie,Vladimir,Gragas,Yasuo,Corki,Malphite,2015
0,1,Rumble,LeeSin,Kassadin,Kalista,Annie,Hecarim,Sejuani,Leblanc,Tristana,Nautilus,2015
0,1,Maokai,RekSai,Azir,Kalista,Annie,Rumble,Gragas,JarvanIV,Tristana,Nautilus,2015
1,0,Gnar,Nunu,Azir,Sivir,Bard,Hecarim,RekSai,Xerath,Vayne,Janna,2015
1,0,Hecarim,XinZhao,TwistedFate,Corki,Alistar,Ekko,RekSai,Varus,Graves,Janna,2015
0,1,Rumble,RekSai,Azir,Corki,Nautilus,Gnar,Gragas,KogMaw,Kalista,Alistar,2015
0,1,Rumble,Sejuani,Jayce,Kalista,Annie,Gnar,RekSai,Azir,Corki,Alistar,2015
1,0,Ekko,RekSai,Urgot,Vayne,Thresh,Hecarim,Gragas,Viktor,Sivir,Nautilus,2015
1,0,Rumble,Sejuani,Jayce,Jinx,Annie,Maokai,Nidalee,Azir,Sivir,Thresh,2015
1,0,Rumble,Gragas,Varus,Kalista,Thresh,Irelia,Evelynn,Azir,Corki,Alistar,2015
0,1,Rumble,XinZhao,Urgot,Tristana,Thresh,Gnar,RekSai,Azir,Kalista,Annie,2015
1,0,Gnar,RekSai,KogMaw,Ashe,Alistar,Fizz,Ekko,Azir,Sivir,Nautilus,2015
0,1,Hecarim,RekSai,Nidalee,Kalista,Thresh,Rumble,Gragas,Yasuo,Corki,Nautilus,2015
0,1,Rumble,Sejuani,Jayce,Kalista,Thresh,JarvanIV,RekSai,Lulu,Corki,Nautilus,2015
0,1,Maokai,Nocturne,Kassadin,Sivir,Nautilus,Rumble,Evelynn,Hecarim,Jinx,Thresh,2015
1,0,Sion,Ekko,Azir,Sivir,Annie,Gnar,Evelynn,TwistedFate,Ashe,Bard,2015
1,0,Gnar,JarvanIV,Azir,Kalista,Thresh,Shen,Nocturne,Viktor,Sivir,Annie,2015
1,0,Fizz,RekSai,Viktor,Ashe,Annie,Gnar,Ekko,Azir,Sivir,Thresh,2015
1,0,Hecarim,RekSai,Azir,Sivir,Nautilus,Rumble,Sejuani,Jayce,Jinx,Annie,2015
1,0,Hecarim,Gragas,Orianna,Sivir,Janna,Gnar,RekSai,Viktor,Vayne,Alistar,2015
1,0,Maokai,LeeSin,Orianna,Sivir,Alistar,Rumble,Nocturne,Viktor,Jinx,Annie,2015
1,0,Rumble,JarvanIV,Azir,Tristana,Alistar,Gnar,Evelynn,KogMaw,Sivir,Thresh,2015
1,0,Vladimir,Gragas,Viktor,Sivir,Nautilus,Hecarim,RekSai,Azir,Corki,Thresh,2015
1,0,Shen,RekSai,Vladimir,Kalista,Morgana,Nautilus,Olaf,Varus,Sivir,Annie,2015
1,0,Nautilus,Nidalee,Ahri,Graves,Alistar,Shen,Gragas,Ezreal,Corki,Braum,2015
0,1,Lulu,Evelynn,Viktor,Tristana,Alistar,Nautilus,Gragas,Ezreal,Sivir,Thresh,2015
0,1,Fizz,RekSai,TwistedFate,Tristana,Alistar,Nautilus,Gragas,Yasuo,Corki,Annie,2015
0,1,Rumble,Gragas,Lulu,Jinx,Alistar,Nautilus,Nidalee,Orianna,Sivir,Shen,2015
1,0,Shen,Evelynn,Diana,Ezreal,Annie,Irelia,RekSai,Kassadin,Sivir,Nautilus,2015
1,0,Shen,RekSai,Ahri,Kalista,Annie,Rumble,Gragas,Diana,Tristana,Nautilus,2015
0,1,Rumble,Gragas,Lulu,Jinx,Morgana,Gnar,Nidalee,Ezreal,Sivir,Janna,2015
0,1,Gnar,Gragas,Ezreal,Corki,Annie,Maokai,Nidalee,JarvanIV,Sivir,Shen,2015
0,1,Shen,Evelynn,Ezreal,Varus,Alistar,Maokai,RekSai,TwistedFate,Sivir,Thresh,2015
1,0,Shen,JarvanIV,Ezreal,Graves,Thresh,Rumble,LeeSin,Zed,Corki,Alistar,2015
1,0,Gnar,Gragas,Azir,Sivir,Janna,Maokai,RekSai,Ezreal,Vayne,Alistar,2015
0,1,Nautilus,RekSai,Ezreal,Corki,Braum,Fizz,Gragas,Orianna,Tristana,Janna,2015
1,0,Maokai,Nidalee,Urgot,Sivir,Shen,Rumble,RekSai,Viktor,Vayne,Braum,2015
1,0,Maokai,Gragas,Azir,Kalista,Thresh,Nautilus,Vi,Ezreal,Jinx,Shen,2015
1,0,Gnar,LeeSin,TwistedFate,Sivir,Shen,Rumble,JarvanIV,Varus,Corki,Alistar,2015
0,1,Irelia,Gragas,Ahri,KogMaw,Janna,Maokai,RekSai,Azir,Tristana,Braum,2015
1,0,Maokai,Rengar,Orianna,Kalista,Karma,JarvanIV,LeeSin,Diana,Sivir,Nautilus,2015
0,1,Maokai,Gragas,Orianna,Jinx,Shen,Nautilus,RekSai,Azir,Corki,Annie,2015
1,0,Ryze,LeeSin,Ahri,Corki,Alistar,Nautilus,Gragas,TwistedFate,Jinx,Shen,2015
1,0,Fizz,Nautilus,TwistedFate,Tristana,Janna,Maokai,Evelynn,Ahri,Vayne,Alistar,2015
1,0,Rumble,Shyvana,Ahri,Kalista,Braum,Maokai,Evelynn,MasterYi,Corki,Alistar,2015
1,0,Maokai,Nidalee,Orianna,KogMaw,Janna,Shen,Gragas,TwistedFate,Corki,Annie,2015
1,0,Fizz,Gragas,Ezreal,Tristana,Alistar,Hecarim,RekSai,Viktor,Corki,Janna,2015
0,1,Shen,Vi,Rumble,Tristana,Braum,Gnar,RekSai,Ahri,Corki,Thresh,2015
0,1,Rumble,Evelynn,Jayce,Tristana,Braum,Maokai,Gragas,Varus,Corki,Alistar,2015
1,0,Maokai,RekSai,TwistedFate,Kalista,Janna,Fizz,Gragas,Yasuo,Sivir,Nautilus,2015
0,1,Maokai,Nidalee,Orianna,Kalista,Karma,Kennen,Gragas,Azir,Sivir,Janna,2015
